,城区,位置,房型,面积,朝向,装修,楼层,时间,地标,单价,总价,PerPrice
49,东城区,金世纪嘉园 ,2室2厅,105.97,东南北,精装,低楼层(共18层),2003年,广渠门,83043,880.0,8.304237048221195
50,东城区,冠城名敦道 ,2室1厅,85.03,东北,精装,低楼层(共23层),2009年,广渠门,73857,628.0,7.385628601669999
51,东城区,海运仓小区 ,3室1厅,88.78,东南西,精装,中楼层(共7层),2003年,东直门,109259,970.0,10.92588420815499
52,东城区,小黄庄一区 ,3室1厅,89.56,东西,简装,高楼层(共21层),1990年,安贞,91336,818.0,9.133541759714157
53,东城区,新景家园西区 ,2室1厅,79.74,东西,精装,中楼层(共14层),2004年,崇文门,96314,768.0,9.63130173062453
54,东城区,仓南胡同12号院 ,2室1厅,61.38,南北,简装,中楼层(共6层),1990年,朝阳门内,113230,695.0,11.322906484196807
55,东城区,胡家园小区 ,2室1厅,58.38,西北,精装,低楼层(共6层),1985年,东直门,86503,505.0,8.650222678999658
56,东城区,花市枣苑一期 ,3室2厅,151.98,西南,精装,低楼层(共18层),2003年,东花市,100014,1520.0,10.001315962626663
57,东城区,和平里七区 ,3室1厅,98.99,南北,简装,顶层(共3层),1979年,和平里,95970,950.0,9.596928982725528
58,东城区,后芳嘉园胡同 ,1室1厅,50.42,南,简装,中楼层(共6层),2002年,朝阳门内,119001,600.0,11.90003966679889
59,西城区,六铺炕一区 ,2室1厅,47.7,东南西,精装,底层(共5层),1975年,六铺炕,157233,750.0,15.723270440251572
60,西城区,裕中东里 ,2室1厅,60.7,南北,精装,中楼层(共6层),1985年,马甸,131631,799.0,13.16309719934102
61,西城区,红居南街6号院 ,1室1厅,41.24,南,简装,中楼层(共6层),1986年,广安门,99419,410.0,9.94180407371484
62,西城区,天宁寺东里 ,1室1厅,35.73,东,简装,中楼层(共5层),1983年,天宁寺,106354,380.0,10.635320458998041
63,西城区,真武庙六里 ,3室1厅,83.0,西南,简装,底层(共18层),1988年,木樨地,106025,880.0,10.602409638554217
