22,东城区,海运仓小区 ,3室1厅,88.78,东南西,精装,中楼层(共7层),2003年,东直门,970,109259
23,东城区,小黄庄一区 ,3室1厅,89.56,东西,简装,高楼层(共21层),1990年,安贞,818,91336
24,东城区,新景家园西区 ,2室1厅,79.74,东西,精装,中楼层(共14层),2004年,崇文门,768,96314
25,东城区,仓南胡同12号院 ,2室1厅,61.38,南北,简装,中楼层(共6层),1990年,朝阳门内,695,113230
26,东城区,胡家园小区 ,2室1厅,58.38,西北,精装,低楼层(共6层),1985年,东直门,505,86503
27,东城区,花市枣苑一期 ,3室2厅,151.98,西南,精装,低楼层(共18层),2003年,东花市,1520,100014
28,东城区,和平里七区 ,3室1厅,98.99,南北,简装,顶层(共3层),1979年,和平里,950,95970
29,东城区,后芳嘉园胡同 ,1室1厅,50.42,南,简装,中楼层(共6层),2002年,朝阳门内,600,119001
0,西城区,六铺炕一区 ,2室1厅,47.7,东南西,精装,底层(共5层),1975年,六铺炕,750,157233
1,西城区,裕中东里 ,2室1厅,60.7,南北,精装,中楼层(共6层),1985年,马甸,799,131631
2,西城区,红居南街6号院 ,1室1厅,41.24,南,简装,中楼层(共6层),1986年,广安门,410,99419
3,西城区,天宁寺东里 ,1室1厅,35.73,东,简装,中楼层(共5层),1983年,天宁寺,380,106354
4,西城区,真武庙六里 ,3室1厅,83,西南,简装,底层(共18层),1988年,木樨地,880,106025
5,西城区,莲花池东路甲5号院 ,1室1厅,53.8,南,简装,高楼层(共6层),1991年,木樨地,666,123792
6,西城区,裕中西里 ,1室1厅,51.7,东,精装,顶层(共20层),1990年,马甸,745,144101
7,西城区,教场口9号院 ,2室1厅,69.57,南西南北,简装,高楼层(共20层),2003年,六铺炕,840,120742
8,西城区,汽南小区 ,2室1厅,90.8,东南,简装,中楼层(共14层),1996年,木樨地,1100,121146
9,西城区,龙爪槐胡同 ,2室1厅,67.36,南北,精装,中楼层(共5层),1998年,陶然亭,740,109858
10,西城区,东经路19号院 ,1室1厅,37.02,东,精装,中楼层(共6层),1985年,陶然亭,520,140465
11,西城区,外交学院 ,3房间1卫,51.95,南,精装,中楼层(共6层),1988年,阜成门,688,132436
12,西城区,广安门内大街 ,3室1厅,84.26,南北,简装,低楼层(共15层),1985年,牛街,770,91384
